Date,Price,Open,High,Low,Vol.,Change %
4/1/1988,89.16,88.33,90.12,87.87,,0.97%
3/1/1988,88.3,90.55,90.96,88.16,,-2.46%
2/1/1988,90.53,90.88,92.04,90.3,,0.21%
1/1/1988,90.34,85.67,90.81,85.33,,5.76%
12/1/1987,85.42,89.99,90.79,85.33,,-4.18%
11/1/1987,89.15,93.24,93.36,89.03,,-4.81%
10/1/1987,93.65,98.63,98.81,93.26,,-4.99%
9/1/1987,98.57,97.04,98.69,95.97,,1.28%
8/1/1987,97.32,99.77,101.74,96.95,,-2.48%
7/1/1987,99.79,98.03,100.23,97.97,,1.69%
6/1/1987,98.13,98.3,99.06,96,,0.37%
5/1/1987,97.77,95.83,97.91,94.75,,1.91%
4/1/1987,95.94,97.73,98.44,95.25,,-1.20%
3/1/1987,97.11,99.17,100.44,96.81,,-2.17%
2/1/1987,99.26,99.29,101.21,97.87,,-0.60%
1/1/1987,99.86,104.44,104.48,97.19,,-3.59%
12/1/1986,103.58,105.53,107.94,103.55,,-2.21%
11/1/1986,105.92,109.67,109.69,105.91,,-3.07%
10/1/1986,109.27,106.83,109.77,104.99,,2.37%
9/1/1986,106.74,106.76,108.98,104.92,,0.29%
8/1/1986,106.43,107.85,108.72,106.31,,-1.49%
7/1/1986,108.04,111.26,112.09,107.98,,-3.20%
6/1/1986,111.61,117.83,118.03,111.34,,-5.02%
5/1/1986,117.51,112.28,117.65,110.35,,5.14%
4/1/1986,111.77,117.78,121.16,110.76,,-5.22%
3/1/1986,117.92,114.94,118.71,113.66,,2.47%
2/1/1986,115.08,121.78,123.26,113.45,,-5.30%
1/1/1986,121.52,123.71,125.21,121.03,,-1.57%
12/1/1985,123.46,124.42,127.68,123.24,,-1.22%
11/1/1985,124.99,128.69,129.44,124.77,,-3.40%
10/1/1985,129.39,131.15,132.38,129.39,,-2.07%
9/1/1985,132.12,139.91,144.19,131.55,,-4.40%
8/1/1985,138.2,138.42,139.85,135.56,,0.68%
7/1/1985,137.26,146.44,146.61,137.26,,-6.06%
6/1/1985,146.12,146.94,149.41,145.92,,-1.18%
5/1/1985,147.86,151.57,154.52,147.06,,-1.23%
4/1/1985,149.7,150.65,153.16,144.83,,0.35%
3/1/1985,149.18,161.04,163.83,149.18,,-7.00%
2/1/1985,160.41,153.47,164.72,153.47,,5.04%
1/1/1985,152.72,152.23,153.89,151.8,,0.83%
12/1/1984,151.47,149.51,151.47,147.47,,1.51%
11/1/1984,149.21,144.76,149.21,142.32,,1.93%
10/1/1984,146.39,147.05,150.09,145.49,,-0.79%
9/1/1984,147.55,141.92,149.3,141.92,,5.15%
8/1/1984,140.33,141.71,141.71,139.01,,-0.68%
7/1/1984,141.29,136.7,141.29,136.7,,3.69%
6/1/1984,136.26,132,136.9,131.5,,1.92%
5/1/1984,133.69,132.95,135.06,132.1,,0.79%
4/1/1984,132.64,128.36,132.64,128.36,,3.45%
3/1/1984,128.22,128.68,129.97,126.18,,-0.02%
2/1/1984,128.25,134.65,134.65,128.25,,-5.36%
1/1/1984,135.51,133.19,136.15,133.19,,2.82%
12/1/1983,131.79,130.78,134.05,130.78,,0.88%
11/1/1983,130.64,129.23,131.36,128.9,,1.74%
10/1/1983,128.4,128.15,128.44,126.21,,0.04%
9/1/1983,128.35,130.74,130.77,128.35,,-1.90%
8/1/1983,130.84,129.68,131.94,128.09,,1.87%
7/1/1983,128.44,124.98,128.44,124.98,,2.80%
6/1/1983,124.94,124.68,126.21,124.25,,0.93%
5/1/1983,123.79,122.04,123.79,120.9,,1.14%
4/1/1983,122.39,122.27,122.43,121.14,,0.15%
3/1/1983,122.21,120.79,122.65,118.97,,1.55%
2/1/1983,120.35,120.99,122.28,118.02,,-0.64%
1/1/1983,121.12,116.97,121.12,115.43,,3.20%
12/1/1982,117.36,121.03,121.45,117.05,,-3.01%
11/1/1982,121,124.36,126.02,121,,-3.03%
10/1/1982,124.78,122.14,124.78,121.23,,2.11%
9/1/1982,122.2,120.03,122.76,118.78,,1.59%
8/1/1982,120.29,117.8,121.41,116.95,,1.04%
7/1/1982,119.05,119.33,121.06,116.12,,0.01%
6/1/1982,119.04,113.71,120.47,113.25,,5.54%
5/1/1982,112.79,111.51,112.79,109.7,,1.07%
4/1/1982,111.6,114.16,115.36,111.6,,-2.73%
3/1/1982,114.73,111.96,114.73,110.28,,2.50%
2/1/1982,111.93,109.32,111.93,109.14,,3.61%
1/1/1982,108.03,104.62,108.78,104.62,,3.19%
12/1/1981,104.69,103.65,106.46,103.37,,1.46%
11/1/1981,103.18,104.99,105.35,103.18,,-2.78%
10/1/1981,106.13,107.57,108.65,103.86,,-1.49%
9/1/1981,107.73,110.76,110.76,103.84,,-2.31%
8/1/1981,110.28,114.03,114.88,110.01,,-1.29%
7/1/1981,111.72,108.52,111.72,108.52,,3.72%
6/1/1981,107.71,104.99,108.47,104.99,,2.63%
5/1/1981,104.95,100.28,105.36,100.28,,4.48%
4/1/1981,100.45,96.28,100.45,96.28,,3.81%
3/1/1981,96.76,97.95,97.95,94.24,,-0.31%
